termKey,canonical,aliases,tier,df,domains,topN出处,sampleEvidence,decision,note
客体审查,客体审查,,seed,0,1,examination-guideline:02-01-02；examination-guideline:02-09；examination-guideline:02-10-02；examination-guideline:02-11-02,,,
不授予专利权,不授予专利权,违反法律；公德；公共利益,seed,8,3,examination-guideline:01-01-07-02；examination-guideline:01-03-06；examination-guideline:01-03-06-01；examination-guideline:02-01-03-01；patent-law:law-01-05,违反法律，是指外观设计专利申请的内容违反了由全国人民代表大会或者全国人民代表大会,,
遗传资源,遗传资源,,seed,9,3,examination-guideline:01-01-05；examination-guideline:01-01-05-03；examination-guideline:02-01-01；examination-guideline:02-01-03；examination-guideline:02-01-03-02,依赖遗传资源完成的发明创造申请专利,,
不授予专利权的客体,不授予专利权的客体,,seed,1,2,examination-guideline:02-01-04；examination-guideline:03-02-02；patent-law:law-02-04,专利法第二十五条第一款第（一）项至第（五）项：不授予专利权的客体,,
科学发现,科学发现,,seed,5,2,examination-guideline:01-01-07；examination-guideline:02-01-04-01；examination-guideline:02-10-02；examination-guideline:02-10-02-01；examination-guideline:02-11-02,（1）科学发现,,
智力活动规则方法,智力活动规则方法,智力活动；智力活动的规则和方法,seed,8,2,examination-guideline:01-01-07；examination-guideline:02-01-04-02；examination-guideline:02-09-02；examination-guideline:02-09-03；examination-guideline:02-09-04,智力活动，是指人的思维运动，它源于人的思维,,
疾病的诊断和治疗方法,疾病的诊断和治疗方法,,seed,4,3,examination-guideline:01-01-07；examination-guideline:02-01-04-03；chemistry-drafting-rules:chem-01-05-07；patent-law:law-02-04,即疾病的诊断和治疗方法，这类方法直接以有生命的人体或动物体为实施对象,,
外科手术方法,外科手术方法,,seed,1,1,examination-guideline:02-01-04-03；examination-guideline:02-05-03-02,外科手术方法，是指使用器械对有生命的人体或者动物体实施的剖开、切除、缝合、纹刺等,,
动物和植物品种,动物和植物品种,,seed,2,2,examination-guideline:01-01-07；examination-guideline:02-01-04-04；examination-guideline:02-10-09-01；patent-law:law-02-04,（4）动物和植物品种,,
原子核变换方法,原子核变换方法,,seed,3,2,examination-guideline:01-01-07；examination-guideline:02-01-04-05；patent-law:law-02-04,（5）原子核变换方法以及用原子核变换方法获得的物质,,
计算机程序,计算机程序,计算机程序本身,seed,1,1,examination-guideline:02-09；examination-guideline:02-09-01,本章所说的计算机程序本身是指为了能够得到某种结果,,
人工智能,人工智能,大数据,seed,0,1,examination-guideline:02-09-06,,,
比特流,比特流,,seed,1,1,examination-guideline:02-09-07,各种类型的数据一般以比特流的形式生成、存储、传输等,,
商业规则方法,商业规则方法,,seed,0,1,examination-guideline:02-09-06,,,
说明书充分公开,说明书充分公开,充分公开,seed,10,2,examination-guideline:02-02-02-01；examination-guideline:02-09-06-03；examination-guideline:02-10-03；examination-guideline:02-10-09-05；examination-guideline:02-11-03,化合物类专利申请中，需要特别注意的是专利法 26.3 规定的充分公开问题,,
实施例,实施例,,seed,4,3,examination-guideline:02-02-02-02；examination-guideline:02-10-03；examination-guideline:02-10-03-04；chemistry-drafting-rules:chem-01-04-06；chemistry-drafting-rules:chem-02-03-03,实施例就是一个个具体的实验过程,,
补交实验数据,补交实验数据,,seed,1,1,examination-guideline:02-10-03；examination-guideline:02-10-03-05,补交实验数据所证明的技术效果应当是所属技术领域的技术人员能够,,
权利要求清楚简要,权利要求清楚简要,,seed,0,1,examination-guideline:02-02-03-02,,,
以说明书为依据,以说明书为依据,权利要求得到说明书的支持；权利要求书以说明书为依据；说明书支持,seed,4,2,examination-guideline:02-02-03-02；examination-guideline:03-02-02；oa-response-guide:oa-04-01；oa-response-guide:oa-04-02,权利要求书应当以说明书为依据，是指权利要求应当得到说明书的支持,,
